company_name,country,website,email,phone,address,description,brands_carried,source,source_url,scale,import_frequency,hs_codes,found_at
EDTA4Na,indonesia,https://makrochemindo.com,,,,... Importir Resmi Jackchem China. Kami adalah importir dan distributor EDTA 4NA (Tetrasodium EDTA) ex Jackchem China terpercaya di Indonesia. Produk ini ...,,serp,https://makrochemindo.com/edta4na/,,,,2026-05-03T08:51:27
Tentang Kami,indonesia,https://www.pcnchemical.id,,484-11-7) 5,,"Sebagai importir resmi, kami menghadirkan produk berkualitas tinggi dengan sertifikasi COA dan MSDS, memastikan mutu dan keamanan terbaik untuk mendukung ...",,serp,https://www.pcnchemical.id/about,,,,2026-05-03T08:51:27
"Review Dewpre Peonia Brightening Series, Skincare Rasa ...",indonesia,https://www.pohontomat.com,pohontomat.com@gmail.com,,,"Pada awalnya, sang founder adalah seorang importir produk kecantikan terkemuka Korea Selatan. Setelah itu, beliau melakukan penelitian ...",,serp,https://www.pohontomat.com/2021/11/review-dewpre-peonia-brightening-series.html,,,,2026-05-03T08:51:28
"Perkuat Portofolio Bisnis Skincare, AAM Jadi Distributor ...",indonesia,https://www.anugrah-argon.com,care@anugrah-argon.com,,,"PT Anugrah Argon Medica (AAM) dipercaya untuk menjadi distributor resmi dari PT DTOID SUKSES BERSAMA (D2ID), dengan brand terkenalnya yakni ...",,serp,https://www.anugrah-argon.com/post/perkuat-portofolio-bisnis-skincare-aam-jadi-distributor-resmi-somebymi-dari-korea-selatan,,,,2026-05-03T08:51:29
Menjadi Agen Tunggal Pemegang Merek: Syarat dan ...,indonesia,https://mebiso.com,care@mebiso.com,14241947,,"Agen Tunggal Pemegang Merek adalah perusahaan atau pihak yang memiliki hak eksklusif untuk mengimpor, menyalurkan, juga menjual produk dari ...",,serp,https://mebiso.com/wiki/agen-tunggal-pemegang-merek/,,,,2026-05-03T08:51:31
Makeup Wholesale Distributor,indonesia,https://beautyjoint.com,wholesale@beautyjoint.com,,,"AUTHORIZED DISTRIBUTOR BRANDS Absolute, Ardell, Beauty Creations, Beauty ... Indonesia (+62). Iran (+98). Iraq (+964). Ireland (+ ...",,serp,https://beautyjoint.com/pages/wholesale,,,,2026-05-03T08:51:33
Trik Cerdas Mencari Distributor Kosmetik Korea Tangan ...,indonesia,https://hellocantik.id,iimrohimah15@gmail.com,,,Trik Cerdas Mencari Distributor Kosmetik Korea Di Tangan Pertama · 1. Melalui Jasa Import · 2. Melalui Forum dan Komunitas Online · 3. Mencarinya ...,,serp,https://hellocantik.id/distributor-kosmetik-korea-tangan-pertama/,,,,2026-05-03T08:51:34
Cosmetic Raw Materials / Distributors,indonesia,https://www.ikeda-corp.co.jp,,,,"INDONESIA; TEL. 62-21-225-204-47; FAX. 62-21-225-204-48; E-mail : URL : http://infinisia.co.id/. KOREA. ZEUSCHEM CO., LTD. C-503, INDEOKWON IT-VALLEY 40, IMI-RO ...",,serp,https://www.ikeda-corp.co.jp/e_crm_distributors.html,,,,2026-05-03T08:51:35
Japanese Health and Beauty Products,indonesia,https://niitaka.co.id,info@niitaka.co.id,+62 21 2781 4990,,Japanese Health and Beauty Products Distributor. Looking for authentic Japanese health and beauty products in Indonesia? Niitaka is your trusted partner.,,serp,https://niitaka.co.id/en/our-products/japanese-health-and-beauty-products/,,,,2026-05-03T08:51:35
Import & Market Entry Solutions in the United States,indonesia,https://www.miraigroupjapan.com,info@miraigroupjapan.com,,,"Mirai Group Japan membantu bisnis mengimpor produk premium Jepang, khususnya kosmetik, melalui jasa beli barang dari Jepang dan jasa pengadaan produk Jepang.",,serp,https://www.miraigroupjapan.com/id,,,,2026-05-03T08:51:35
PT Narda Tita,indonesia,https://www.nardatita.com,,,,"PT Narda Tita adalah importer dan distributor fine-chemical berbasis di Indonesia dengan fokus di industri farmasi, pangan & flavour dan kosmetik.",,serp,https://www.nardatita.com/id/home-2/,,,,2026-05-03T08:51:35
Business Area,indonesia,https://www.chemicogroup.com,contact@th.chemicogroup.com,(66-2) 017-8299,,"CMC group adalah importir dan distributor bahan berkualitas tinggi untuk industri kosmetik, perawatan rumah tangga, makanan, dan suplemen makanan serta ...",,serp,https://www.chemicogroup.com/business-area.html,,,,2026-05-03T08:51:36
Mac Studio Fix Plus Foundation Powder 100% Nc10,indonesia,https://in.pinterest.com,,,,Beli di counter harga = idr 550k Beauty Bank adalah supplier dan distributor kosmetik Amerika di Indonesia. Kita hanya menjual produk Original dari Amerika ...,,serp,https://in.pinterest.com/pin/mac-studio-fix-plus-foundation-powder-100-nc10--4606901076622774784/,,,,2026-05-03T08:51:37
"Toko Parfum Terdekat, Parfum Refill Isi Ulang Original Murah",indonesia,https://lokasiterdekat.com,,,,"Rivala Parfum, Jl. Dewi Sartika No.3B, Cililitan. Toko ini adalah distributor parfum impor original yang banyak diminati oleh para pecinta parfum di wilayah ...",,serp,https://lokasiterdekat.com/toko-parfum-terdekat/,,,,2026-05-03T08:51:37
Redo Marketing Indonesia,indonesia,https://redo.co.id,Enquiry@redo.co.id,,,"PT. Redo Marketing Indonesia was established in 2014, We are both distributors and importers aesthetic device & Skincare across Indonesia.",,serp,https://redo.co.id/,,,,2026-05-03T08:51:38
PT Azza Mulia Chemicals: Leading Supplier of High-Quality ...,indonesia,https://www.azza-mulia.com,support@azza-mulia.com,2026-02-03 15,,"Azza Mulia Chemicals is a leading importer, distributor, and supplier of high-quality cosmetic raw materials across Indonesia.",,serp,https://www.azza-mulia.com/,,,,2026-05-03T08:51:38
Official Distributor Produk Kecantikan Korea No. 1 di Indonesia,indonesia,https://mitraharapanmandiri.co.id,,,,PT. Mitra Harapan Mandiri merupakan perusahaan yang mendistribusikan Produk Perawatan dan Kecantikan terbaik dari Korea.,,serp,https://mitraharapanmandiri.co.id/,,,,2026-05-03T08:51:38
Local Distributor and Partner,indonesia,https://indonesia.incorp.asia,,,,"With big presence in Jakarta, Bali, Semarang, Surabaya, and Batam, InCorp Indonesia is ready to assist you as a local partner and distributor in Indonesia.",,serp,https://indonesia.incorp.asia/services/local-distributor-and-partner-in-indonesia/,,,,2026-05-03T08:51:38
Roja Reckless Essence EDP 100ml Original Box Segel Lengkap,indonesia,https://ca.pinterest.com,,,,... IMPORTIR PARFUM ORIGINAL yang sudah berdiri sejak tahun 2011. Kami menjamin ... Hubungi Kami via WA : https://wa.me/62811159797 Kami juga menerima pemesanan ...,,serp,https://ca.pinterest.com/pin/roja-reckless-essence-edp-100ml-original-box-segel-lengkap--4607534368498974976/,,,,2026-05-03T08:51:39
Review Dewpre Paeonia Brightening Essence Membantu ...,indonesia,https://www.dekcrayon.id,,,,Pecinta skincare pasti paham bahwa brand yang lolos kurasi importir skincare tersebut pasti benar-benar bagus perfomanya. Nama Dewpre ...,,serp,https://www.dekcrayon.id/2022/01/Review-Dewpre-Paeonia-Brightening-Essence.html,,,,2026-05-03T08:51:40
